y_true,score
0,0.00054634886
0,0.002912224
0,0.0010089509
0,0.005815307
0,0.00053918763
0,0.0021583685
0,0.0135408845
0,0.0011139791
0,0.000728846
0,0.002466109
0,0.00073967193
0,0.0021584774
0,0.0014905346
0,0.0031177148
0,0.032498572
0,0.022089334
0,0.0019475762
0,0.0010583395
0,0.0033964913
0,0.0012064478
0,0.0026691114
0,0.00068316207
0,0.0020462342
0,0.00081734074
0,0.000525408
0,0.0009869819
0,0.000761459
0,0.007636347
0,0.00077506824
0,0.00271614
0,0.0006425207
0,0.012208926
0,0.0029813428
0,0.0029673735
0,0.0032792387
0,0.0013415393
0,0.0006316274
0,0.0008766275
0,0.0007748304
0,0.002749465
0,0.13414814
0,0.0010269368
0,0.007843679
0,0.003251952
0,0.03265377
0,0.003704552
0,0.0016132449
0,0.0047987388
0,0.0018076547
0,0.0019303896
0,0.0006508187
0,0.0011984085
0,0.0032500266
0,0.00040624535
0,0.0006781262
0,0.007065079
0,0.0014478492
0,0.007754378
0,0.0012730379
0,0.0005236976
0,0.0044563585
0,0.003269057
0,0.0008420507
0,0.0011670131
0,0.0152555965
0,0.004881661
0,0.00084629474
0,0.0019393861
0,0.001980647
0,0.0006943131
0,0.0010820378
0,0.0020443304
0,0.0027794733
0,0.08970308
0,0.002121319
0,0.0028647003
0,0.0038626592
0,0.002200868
0,0.0029952158
0,0.001199112
0,0.00055878586
0,0.006139317
0,0.0014985593
0,0.09271415
0,0.0007885849
0,0.00058905437
0,0.3412415
0,0.0012633638
0,0.00076062855
0,0.0040840316
0,0.012486418
0,0.0008284856
0,0.016743394
0,0.0017215245
0,0.00089054997
0,0.001781372
0,0.00058517506
0,0.0029684345
0,0.006998236
0,0.0025710245
0,0.00070185564
0,0.0005417027
0,0.0016393033
0,0.0016781577
0,0.00079184276
0,0.016983151
0,0.0012982682
0,0.003726489
0,0.019312846
0,0.0015014153
0,0.0024728372
0,0.0004945844
0,0.004382853
0,0.0012982708
0,0.004887854
0,0.0011732018
0,0.0017807641
0,0.0012542743
0,0.12104231
0,0.0014838249
0,0.00058383937
0,0.0011040196
0,0.0006254924
0,0.002205218
0,0.0041007004
0,0.0037461943
0,0.0026268822
0,0.0016829034
0,0.033320095
0,0.0018064204
0,0.0006366185
0,0.0018738938
0,0.0010110105
0,0.0044607036
0,0.001276854
0,0.004055755
0,0.0036700445
0,0.0008434722
0,0.003147511
0,0.0024787018
0,0.0034525981
0,0.0024240261
0,0.0069124154
0,0.0028845884
0,0.0069686873
0,0.0069113355
0,0.0013641072
0,0.0015931013
0,0.0017317481
0,0.0019600014
0,0.0070956955
0,0.0138767315
0,0.005417005
0,0.0005333646
0,0.0016853485
0,0.00069118344
0,0.0009278808
0,0.00094837503
0,0.0014516175
0,0.024136605
0,0.008249992
0,0.0015334871
0,0.0043160277
0,0.009098015
0,0.00035526295
0,0.0012402495
0,0.00084852416
0,0.00415458
0,0.0010501131
0,0.00060830114
0,0.0024755946
0,0.0035012998
0,0.0029141726
0,0.002925637
0,0.0011026852
0,0.0053628585
0,0.06284608
0,0.0017925253
0,0.0007303248
0,0.00080720667
0,0.0021502513
0,0.0010478876
0,0.0007191912
0,0.006454374
0,0.0020092737
0,0.0010120273
0,0.00093067513
0,0.00079470087
0,0.002585996
0,0.000953823
0,0.0013854429
0,0.0012833745
0,0.0014488174
0,0.0018258614
0,0.0013855913
0,0.0023951991
0,0.002958997
0,0.0009423762
0,0.00075760874
0,0.00452202
0,0.001561124
0,0.007722348
0,0.016657421
0,0.0023908983
0,0.0015934351
0,0.009024978
0,0.0014277073
0,0.0012587623
0,0.0006775015
0,0.0014045354
0,0.0023570983
0,0.0043643853
0,0.00087189925
0,0.034930073
0,0.007192624
0,0.0011230893
0,0.00095891056
0,0.0023302664
0,0.0022056166
0,0.001383566
0,0.0015435008
0,0.0011416749
0,0.0028244816
0,0.0011437181
0,0.0020003743
0,0.003123552
0,0.00082186225
0,0.0033191403
0,0.0057895053
0,0.0004874304
0,0.0010791416
0,0.0007487718
0,0.0015314429
0,0.004227828
0,0.0023791443
0,0.34001735
0,0.0038692846
0,0.0035259943
0,0.0013991797
0,0.0008373907
0,0.0029465714
0,0.0030880796
0,0.0053736996
0,0.00039480758
0,0.0038541257
0,0.00251605
0,0.0024327405
0,0.0028053361
0,0.003722087
0,0.0016857786
0,0.0011479799
0,0.0008546863
0,0.0006124087
0,0.0006234855
0,0.0005945596
0,0.0022588477
0,0.0017976528
0,0.0017404865
0,0.0009289547
0,0.0018686845
0,0.002402877
0,0.0018680522
0,0.016315214
0,0.00334558
0,0.0008452317
0,0.00196903
0,0.0024192457
0,0.0010321043
0,0.0100030545
0,0.0008467989
0,0.0020373303
0,0.0011850225
0,0.00093553384
0,0.0031879111
0,0.0010156009
0,0.0022315579
0,0.16097607
0,0.003024621
0,0.028770993
0,0.0010793004
0,0.0025623962
0,0.0023094402
0,0.0018870465
0,0.0032174338
0,0.00731898
0,0.012483026
0,0.0057935216
0,0.0035462878
0,0.00060905213
0,0.0022582286
0,0.0024931948
0,0.0043766317
0,0.0018072589
0,0.008867713
0,0.00046702434
0,0.027993012
0,0.0004161617
0,0.0048479857
0,0.0012406382
0,0.00092577556
0,0.0039050593
0,0.025700444
0,0.00053212023
0,0.0022103607
0,0.00091131334
0,0.0018071496
0,0.0010085155
0,0.006392523
0,0.0011819748
0,0.00213901
0,0.00297573
0,0.0017788927
0,0.0031839302
0,0.0015825334
0,0.00076509285
0,0.0018046295
0,0.0008972979
0,0.0070212204
0,0.014103791
0,0.00040281977
0,0.0019941297
0,0.0054127905
0,0.003274523
0,0.0014849175
0,0.002561687
0,0.0009251235
0,0.0019393103
0,0.0034388113
0,0.0015232083
0,0.0033740462
0,0.00080555346
0,0.0010938294
0,0.0020806468
0,0.0006663923
0,0.0008430266
0,0.024528546
0,0.002571153
0,0.015492115
0,0.0019883458
0,0.0005919456
0,0.0006576621
0,0.004670358
0,0.0009877995
0,0.011261352
0,0.00061966205
0,0.0026300848
0,0.0007203837
0,0.0009240668
0,0.0015542005
0,0.004910995
0,0.0021001706
0,0.0009786875
0,0.028711746
0,0.017607316
0,0.0027968504
0,0.007661762
0,0.0014421735
0,0.0033502835
0,0.00053837034
0,0.00051777635
0,0.009664113
0,0.00041959388
0,0.005222181
0,0.0023778228
0,0.0015348743
0,0.0013236167
0,0.0043379418
0,0.0016063972
0,0.0016138249
0,0.0032849389
0,0.0023833741
0,0.002061814
0,0.0026171892
0,0.0030573152
0,0.0038975263
0,0.0029101132
0,0.0010760542
0,0.0015788354
0,0.002151378
0,0.007225649
0,0.002976416
0,0.00063379976
0,0.0043908875
0,0.0033254088
0,0.0038543732
0,0.001418412
0,0.0015857251
0,0.0020102083
0,0.0016661721
0,0.0011485252
0,0.0044524614
0,0.0020105056
0,0.0009125224
0,0.0007017473
0,0.0007683102
0,0.0015319758
0,0.0007774086
0,0.0041453303
0,0.00089389266
0,0.0007744459
0,0.0013004416
0,0.0017862592
0,0.0024815542
0,0.000711109
0,0.0029197978
0,0.020081386
0,0.0012339808
0,0.0049806014
0,0.0009222118
0,0.0014503318
0,0.01752565
0,0.0009149702
0,0.0016754136
0,0.0019132784
0,0.0010789735
0,0.0018822835
0,0.0040339106
0,0.002920999
0,0.0013735403
0,0.0028384714
0,0.011431242
0,0.001609833
0,0.0015690036
0,0.0013065122
0,0.00043362385
0,0.00067272777
0,0.0019548119
0,0.0020298401
